Date,Headline,Sentiment,Predicted Sentiment
2024-09-24,"Expert says Medicaid, Medicare reform is critical and can save $2.1 trillion",positive,
2024-09-24,Getting a call or email about missing jury duty? It's a scam.,negative,
2024-09-24,"Colombia central bank cuts benchmark rate to 10.75%, raises growth outlook",,positive
2024-09-24,Treasuries Rally Into Fed Meeting With a September Cut at Stake,,neutral
2024-09-24,Building society's profits fall ahead of takeover,,negative
2024-09-24,Iran should not have been surprised that Israel was going to respond to attack: Sen. Kevin Cramer,,neutral
2024-09-24,Pershing Square USA Withdraws IPO After Slashing Size Goal,,negative
2024-09-24,Shale-Gas Driller Ovintiv Expands Full-Year Production Targets,,positive
2024-09-24,Fed Opens Door To September Rates Cut If Inflation Stays Cool,,positive
2024-09-24,Canadian Oil Exports From New Pipeline Shift to US From Asia,,neutral
2024-09-24,Powell Says Downside Risk to Fed’s Labor Mandate Is ‘Real’,,negative
2024-09-24,Stocks stay in rally mode after Fed decision,,positive
2024-09-24,"Nasdaq, S&P 500 ride chip-stock wave before Fed decision; Microsoft falters",,neutral
2024-09-24,Buyout Firms Circle Carlyle’s €2 Billion Forgital,,neutral
2024-09-24,"Stuart Varney: Trump crippled Iran, Biden let them recover",,negative
2024-09-24,Boeing's New Pilot Has the Turnaround Job of the Decade,,positive
2024-09-24,Troubled Boeing names new boss for 'next chapter',,neutral
2024-09-24,Wage growth drops for job switchers amid labor market cooldown,,negative
2024-09-24,Trump Bitcoin Reserve Plan Seen as Just ‘Symbolic Little Stash’,,negative
2024-09-24,Democrats starting to recognize the green energy agenda is 'not going to work': John Catsimatidis,,negative
2024-09-24,The AI stock plunge is just warming up,,negative
2024-09-24,Chicken Is Coming to the Rescue of Struggling Meat Producers,,positive
2024-09-24,Arnault Outbid by Mohari in Battle to Buy Luxury Venice Hotel,,neutral
2024-09-24,U.S. Crude Oil Inventories Fall for Fifth Consecutive Week,,neutral
2024-09-24,"Convertible Issues to Climb 67% Over Last Year, Investors Say",,positive
2024-09-24,Tom Brady Pays Top Rent for Miami Office Centered on Spa-Like Wellness,,positive
2024-09-24,Two of Trafigura’s Top US Oil Traders Are Leaving the Company,,negative
2024-09-24,UK Financial Firms Spur IPO Optimism as Europe Rebound Stutters,,neutral
2024-09-24,S&P Cuts Thames Water’s Top-Ranked Bonds to Junk,,negative
2024-09-24,"Fed holds interest rates steady at 23-year high, but notes",,neutral
2024-09-24,Fed holds rates steady and notes progress on inflation,,neutral
2024-09-24,Thomas Hoenig on potential rate cuts: 'I think the Fed is making a mistake',,negative
2024-09-24,At the Money: The Right and Wrong Way to Approach Investing,,neutral
2024-09-24,Macro Briefing: 31 July 2024,,neutral
2024-09-24,Climate Chaos will Halve our Wealth,,negative
2024-09-24,MBA: Mortgage Applications Decreased in Weekly Survey,,neutral
2024-09-24,Most Slices Of The US Bond Market Posting Gains In 2024,,positive
2024-09-24,IRS tops $1 billion Mark in past-due taxes collected from millionaires,,positive
2024-09-24,MicroStrategy Holds Less Bitcoins Than You Think (Q2 Earnings Preview),,neutral
2024-09-24,Pentagon orders review of Medals of Honor given for Wounded Knee Massacre,,neutral
2024-09-24,"ADP: Private Employment Increased 122,000 in July",,neutral
2024-09-24,NAR: Pending Home Sales Increase 4.8% in June; Down 2.6% Year-over-year,,neutral
2024-09-24,Fed is Attentive to the Risks to Both Sides of its Dual Mandate,,neutral
2024-09-24,Freddie Mac House Price Index Increased Slightly in June; Up 5.1% Year-over-year,,positive
2024-09-24,"Boomers were the yuppies, not the hippies",,neutral
2024-09-24,Wednesday links: a time to cut,,neutral
2024-09-24,Here's what changed in the new Fed statement,,neutral
2024-09-24,ProPetro: The Higher End Of The U.S. Frac Market Is Alive And Well (Rating Upgrade),,positive
2024-09-24,Small Business Employment Growth Is Now Negative (and What It Means),,negative
2024-09-24,"Merck / Pfizer Earnings Summaries: Staying With Merck For Now, Pfizer's Cost-Cutting Will Help Margins",,neutral
2024-09-24,FOMC Statement: No Change to Fed Funds Rate,,neutral
2024-09-24,North Sea Oil Producers Say New Tax Rules Mean Faster Decline,,negative
2024-09-24,Tata Steel Profit Misses Estimate on One-Time Costs,,negative
2024-09-24,This is a 'generational opportunity' to own Microsoft: Michael Lee,,positive
2024-09-24,Fed holds rates steady as pressure mounts for a cut,,neutral
2024-09-24,This AI-powered financial advisor has quickly gained $20 billion in assets,,positive
2024-09-24,Defense Stocks Eye Best Month in Two Years on Geopolitical Tensions,,positive
2024-09-24,Fed rate cuts won't impact the 'changing' US economy: Ruchir Sharma,,neutral
2024-09-24,Stocks rally before Fed as Nvidia leads way,,positive
2024-09-24,Bank Stocks Rally to Two-Year High Amid Sentiment ‘U-Turn’,,positive
2024-09-24,Boeing jumps after tapping new CEO as earnings miss,,neutral
2024-09-24,Bill Ackman Pulls Investment Fund IPO After Shrinking Its Size,,negative
2024-09-24,Wall Street Panel Endorses T-Bill Supply Scorned by Republicans,,neutral
2024-09-24,"Toyota Raises Buyback to ¥1.2 Trillion, Citing Share Levels",positive,
2024-09-24,"Spurned by Social Media, Publishers Chase Readers on WhatsApp",neutral,
2024-09-24,Traders Bring ECB October Rate Cut Into Play as Outlook Darkens,negative,
2024-09-24,Mapping The (Declining) State Of Global Freedom,negative,
2024-09-24,"Tech, Industrials Dominate Korea’s New Value-Up Index",positive,
2024-09-24,Nippon Steel's Mori asks USW leadership to 'come to the table',neutral,
2024-09-24,China releases blitz of stimulus to revive its economy,positive,
2024-09-24,"Paintmaker Akzo Nobel to Slash 2,000 Jobs in Cost-Cutting Drive",negative,
2024-09-24,HSBC AM Launches NAV Financing Strategy With €1 Billion Target,positive,
2024-09-24,Aramco Taps Debt Markets for Second Dollar-Bond Sale This Year,neutral,
2024-09-24,China unveils raft of measures to boost economy,positive,
2024-09-24,Customers 'forced' to take part in water  trial,negative,
2024-09-24,Chinese Stocks Rally Most in Seven Months on Stimulus Blitz,positive,
2024-09-24,"Russia's Oil Flows Slump, Driving Earnings to an Eight-Month Low",negative,
2024-09-24,Landlord SBB Plans Housing Unit IPO as Real-Estate Market Thaws,positive,
2024-09-24,China Is Striking Deals to Cement Its Role as Asia’s Trade Hub,positive,
2024-09-24,Why The EU Is Falling Behind In The Global AI Race,negative,
2024-09-24,The Excitement Around Kewaunee Scientific Corporation's Business Turnaround Is Dying Out,negative,
2024-09-24,European Shares Advance Toward Record on China Economy Stimulus,positive,
2024-09-24,Nerdy: 3 Reasons To Buy This Speculative Edtech Play,positive,
2024-09-24,"EVs Are ""Up To Twice As Expensive"" To Run As Regular Gas Cars In The UK, New Data Finds",negative,
2024-09-24,"France's Macron Calls For End Of ""Incomplete & Unjust"" World Order",neutral,
2024-09-24,Canada And Europe Dominate US Foreign Land Ownership,neutral,
2024-09-24,Shell Abandons Norway's Hydrogen Projects Due To Lack Of Demand,negative,
2024-09-24,Legal & General hires PGIM exec to lead £1.1 trillion asset management business,positive,
2024-09-24,Dangote’s ‘Monster’ Refinery Fuels Fight over Gasoline Subsidies,neutral,
2024-09-24,French Assets Risk Fresh Losses From Renewed Political Turmoil,negative,
2024-09-24,Asia stocks scale 2-1/2-year peak on China's expansive stimulus measures,positive,
2024-09-24,Spain to Sell 12-Year Inflation-Linked Bonds Through Syndication,neutral,
2024-09-24,"Indonesia May Review Free Float Rule on Barito Drop, Kontan Says",neutral,
2024-09-24,Stock Market Today: Futures Rise; Chinese Stocks Surge on Stimulus Blitz,positive,
2024-09-24,What to Watch as the Fed Meets on Wednesday,,neutral
2024-09-24,Blackstone's Rumored Buyout Of Retail Opportunity Is Auspicious For Shopping Centers,,positive
2024-09-24,"Morning Bid: No bazooka, but China's latest stimulus is a relief",positive,
2024-09-24,China unleashes most aggressive stimulus since pandemic,positive,
2024-09-24,China Stock Traders Worry Policy-Fueled Gains May Be Shortlived,negative,
2024-09-24,China launches probe into Calvin Klein parent over Xinjiang supply chain ‘disruptions’,negative,
2024-09-24,This mortgage hack could save you thousands a year — and it’s not a refinance,positive,
2024-09-24,A Star FTX Witness Turned Romance Novelist Learns Her Fate,neutral,
